tachometer,und-accelerometer-axial,und-accelerometer-radial,und-accelerometer-tangential,over-accelerometer-axial,over-accelerometer-radial,over-accelerometer-tangential,microphone
4.5719,-0.73182,-0.11384,-0.010313,0.54626,-0.0024204,0.091769,0.18799
4.5329,-1.3496,0.14607,0.023491,0.53363,-0.0066495,0.069248,-0.04057
4.5521,0.55228,0.056707,0.0452,0.58484,-0.0050837,0.11727,0.076398
4.5516,-2.4659,-0.31215,-0.010801,0.5328,-0.0086261,0.038686,0.016916
4.5317,1.2825,0.36546,0.082414,0.63549,0.0085214,0.1252,-0.02862
4.5663,-2.8071,-0.42088,-0.027462,0.54572,0.011589,0.025977,0.09543
4.5194,0.75431,0.44023,0.082048,0.64781,0.0083867,0.096271,-0.11933
4.5732,-1.783,-0.44101,-0.041522,0.58083,0.0073278,0.016775,0.19911
4.5197,-0.51354,0.23461,0.037313,0.65259,0.010415,0.065195,-0.15411
4.5673,-0.30902,-0.11312,-0.03763,0.62461,0.016075,0.046611,0.24657
4.5371,-1.52,-0.020156,-0.040815,0.58813,0.017679,-0.0036406,0.021468
4.5431,1.0038,0.17799,0.0054294,0.67494,0.019226,0.090369,0.034245
4.5545,-2.8243,-0.38739,-0.078389,0.61265,0.018436,0.018033,0.084162
4.5245,1.0505,0.42549,0.025071,0.71862,0.01997,0.12028,-0.080995
4.5675,-2.4547,-0.34477,-0.093168,0.60466,0.019784,0.018521,0.16896
4.5158,0.58166,0.44664,0.029297,0.68579,0.022839,0.09733,-0.12969
4.5689,-1.3344,-0.39182,-0.065466,0.63866,0.022127,0.057316,0.19147
4.5214,-0.67768,0.16028,0.013535,0.68903,0.02255,0.077147,-0.11356
4.5552,0.013304,-0.085765,-0.00026769,0.70631,0.020811,0.10417,0.13408
4.538,-2.244,-0.17884,-0.025844,0.67418,0.022422,0.068259,-0.029326
4.5346,1.1123,0.26302,0.022585,0.73973,0.02375,0.14811,0.0033115
4.556,-2.6063,-0.37515,-0.088518,0.63373,0.020779,0.048813,0.097694
4.5181,1.2081,0.41954,0.014242,0.73749,0.025278,0.1507,-0.10263
4.5694,-2.2308,-0.49903,-0.12625,0.65608,0.017698,0.076947,0.21663
4.5115,0.04508,0.32176,-0.026216,0.74342,0.025406,0.14207,-0.17328
4.5687,-1.0119,-0.16743,-0.12629,0.68934,0.0014429,0.093587,0.30196
4.5228,-1.3987,0.16596,-0.075024,0.68593,-0.025684,0.087332,-0.065248
4.551,0.41985,0.090613,-0.061581,0.72364,-0.019517,0.13505,0.13247
4.5443,-2.2878,-0.15204,-0.09462,0.65756,-0.019112,0.050432,0.097134
4.5275,1.0821,0.37594,0.021397,0.77162,-0.019889,0.1531,-0.018982
4.5652,-2.6839,-0.25234,-0.081993,0.67505,-0.022007,0.056629,0.26889
4.5113,1.01,0.4864,0.052169,0.76448,-0.023951,0.14756,-0.12794
4.5661,-2.2891,-0.33308,-0.065749,0.67325,-0.027898,0.060796,0.23581
4.5114,-0.58335,0.35688,0.032662,0.73295,-0.024586,0.10453,-0.12977
4.5568,-0.56735,-0.13226,-0.022703,0.73151,-0.024824,0.11157,0.15635
4.524,-1.8521,0.044161,-0.013332,0.72476,-0.02664,0.087428,-0.091338
4.5384,0.77793,0.20449,0.011383,0.76793,-0.027949,0.13139,0.049237
4.5415,-2.1452,-0.21635,-0.035292,0.70313,-0.027108,0.061297,-0.078537
4.5206,1.2614,0.42029,0.048707,0.77752,-0.028668,0.14024,0.0099314
4.5582,-2.8604,-0.48233,-0.050527,0.68814,-0.031126,0.054978,0.10981
4.509,0.40042,0.44014,0.06443,0.78827,-0.030272,0.13945,-0.11044
4.5594,-1.2444,-0.24369,-0.016961,0.72528,-0.031126,0.091101,0.15262
4.5121,-0.37733,0.32368,0.050467,0.75687,-0.03221,0.11802,-0.1278
4.55,-0.29601,-0.11756,0.020119,0.75275,-0.033391,0.12649,0.16355
4.5274,-2.2074,-0.10722,0.020453,0.73554,-0.031691,0.096849,-0.043539
4.529,1.0234,0.24279,0.080179,0.80163,-0.03033,0.16793,0.010223
4.5426,-2.3727,-0.30906,0.010677,0.72603,-0.02879,0.080569,-0.0064723
4.5139,1.1878,0.42207,0.098972,0.80862,-0.026345,0.14772,-0.071868
4.5578,-2.3925,-0.50678,-0.0133,0.72674,-0.024516,0.051523,0.17375
4.5061,0.29757,0.36169,0.098125,0.81634,-0.023893,0.11531,-0.13731
4.556,-0.97757,-0.35265,0.022476,0.77498,-0.026184,0.083626,0.1674
4.5134,-1.0478,0.061577,0.061835,0.7944,-0.027057,0.087775,-0.069337
4.5392,0.655,0.05742,0.06689,0.83747,-0.027988,0.13465,0.029183
4.5283,-1.5122,-0.089125,0.052265,0.79679,-0.029034,0.10574,-0.050037
4.5215,1.2112,0.28853,0.10112,0.82863,-0.025568,0.13835,-0.027549
4.5431,-1.5318,-0.27177,0.021506,0.76614,-0.024663,0.084712,0.058315
4.5085,1.012,0.41333,0.078104,0.81146,-0.024728,0.13945,-0.087225
4.5507,-0.91929,-0.31115,-0.0033892,0.79535,-0.024927,0.13321,0.080949
4.5059,0.34112,0.34863,0.031294,0.81114,-0.023104,0.15316,-0.09718
4.5439,-0.11976,-0.23036,-0.0066328,0.78054,-0.02313,0.12074,0.07321
4.5144,-0.78316,0.065746,0.016181,0.76981,-0.022706,0.11329,-0.099784
4.5311,0.81951,0.066986,0.030498,0.78043,-0.022193,0.13114,0.030375
4.5305,-1.2921,-0.22811,0.0049734,0.73241,-0.020229,0.10009,0.0038226
4.5138,1.322,0.30777,0.081804,0.78853,-0.021358,0.1594,-0.053639
4.5428,-1.4426,-0.38123,0.021127,0.75756,-0.024163,0.13282,0.03478
4.5031,0.80934,0.34378,0.090462,0.78781,-0.021249,0.16717,-0.10733
4.5521,-0.88041,-0.18545,-0.00085217,0.73792,-0.022969,0.13747,0.10139
4.5039,-0.10496,0.27601,0.035257,0.74694,-0.022623,0.15555,-0.10037
4.5427,0.22132,-0.020991,-0.014835,0.74423,-0.022199,0.16017,0.062258
4.5167,-1.1325,0.099254,-0.021534,0.72241,-0.022449,0.14618,-0.061865
4.5257,0.92981,0.091828,-0.0060226,0.73915,-0.021808,0.16418,0.031543
4.536,-1.5446,-0.30821,-0.074182,0.64567,-0.021352,0.083363,0.054445
4.5068,1.1808,0.27462,0.014659,0.72679,-0.017643,0.1609,-0.071162
4.5488,-1.3077,-0.83224,-0.079179,0.65336,-0.018714,0.095141,0.096161
4.4979,0.64438,0.25829,0.014454,0.71032,-0.017931,0.16167,-0.11899
4.5502,-0.3591,-0.67511,-0.063135,0.67667,-0.019568,0.12601,0.11568
4.5038,-0.11026,-0.097553,-0.019761,0.67652,-0.02073,0.1182,-0.091947
4.5357,0.44619,0.057665,-0.032857,0.71265,-0.0215,0.14611,0.060676
4.5196,-0.91782,-0.034385,-0.040937,0.67942,-0.02605,0.11552,-0.026356
4.5165,1.1984,0.25868,-0.0032286,0.72003,-0.026415,0.15204,-0.02217
4.5372,-1.1253,-0.28585,-0.069494,0.62382,-0.025985,0.059576,0.059897
4.5007,1.2087,0.39179,0.020286,0.70743,-0.024221,0.12624,-0.09292
4.5482,-0.90254,-0.63753,-0.070425,0.63747,-0.029996,0.051241,0.083261
4.4959,0.47686,0.30761,0.014396,0.68907,-0.030131,0.1042,-0.099273
4.5443,0.024183,-0.54946,-0.045973,0.66636,-0.032544,0.082599,0.0837
4.5049,-0.10969,-0.11225,-0.016428,0.65864,-0.027025,0.083125,-0.075787
4.5287,0.76441,-0.059696,-0.011733,0.69727,-0.021634,0.11351,0.042861
4.5229,-0.87443,-0.34371,-0.033808,0.62835,-0.018079,0.044819,0.0057453
4.5086,1.3084,0.23081,0.044738,0.71323,-0.016404,0.12508,-0.043149
4.5385,-0.86103,-0.70389,-0.02461,0.62869,-0.018124,0.055877,0.056879
4.4954,1.1038,0.363,0.06734,0.70443,-0.018265,0.14002,-0.091046
4.5458,-0.51833,-0.74367,-0.021547,0.65235,-0.021025,0.094441,0.086547
4.4947,0.39192,0.19394,0.049349,0.68629,-0.018868,0.13444,-0.10334
4.537,0.38977,-0.39202,0.012854,0.68968,-0.018522,0.14119,0.066444
4.5064,-0.10297,-0.12669,0.027017,0.66552,-0.016815,0.12259,-0.057582
4.5197,1.0565,0.055487,0.033472,0.70584,-0.015916,0.16674,-0.0024079
4.5238,-0.45033,-0.34346,-0.013049,0.64244,-0.017835,0.11639,0.013144
4.5018,1.2902,0.33917,0.034955,0.70684,-0.018702,0.16893,-0.058044
4.5373,-0.45948,-0.40036,-0.036551,0.63925,-0.022032,0.095815,0.057901
4.492,1.0374,0.39946,0.022501,0.69219,-0.023431,0.13255,-0.090122
4.5395,-0.092274,-0.34111,-0.039473,0.66281,-0.028771,0.098801,0.048166
4.495,0.38048,0.1975,0.0017298,0.67843,-0.025754,0.11066,-0.079754
4.5285,0.68585,-0.028328,-0.0062281,0.68582,-0.023534,0.11203,0.0099071
4.5083,-0.072192,-0.0055672,-0.0025799,0.65175,-0.021955,0.088423,-0.043904
4.5105,1.1208,0.24616,0.023253,0.71166,-0.023059,0.14691,-0.02935
4.5218,-0.26484,-0.064495,-0.011887,0.67226,-0.017142,0.11344,0.0067188
4.4965,1.2543,0.36488,0.034557,0.71223,-0.013946,0.15064,-0.078731
4.5307,-0.34317,-0.043944,-0.018021,0.67293,-0.014768,0.11754,0.045173
4.4901,0.88646,0.39389,0.019508,0.69349,-0.015531,0.14545,-0.099978
4.5314,0.28452,-0.13023,-0.030526,0.67552,-0.017527,0.12567,0.057488
4.4958,0.37487,0.17424,-0.019151,0.67414,-0.014582,0.12467,-0.063691
4.5191,0.90217,0.16272,-0.020352,0.6927,-0.015602,0.15204,0.0021433
4.5086,-0.10926,0.13246,-0.028554,0.66812,-0.016545,0.13942,-0.0071051
4.5034,1.2163,0.26274,0.013233,0.69624,-0.014209,0.17527,-0.046459
4.5241,-0.73729,-0.21811,-0.014719,0.66393,-0.012226,0.15791,0.033271
4.4885,1.1539,0.36327,0.042053,0.6822,-0.012515,0.182,-0.094259
4.5307,-0.33691,0.058602,-0.01118,0.64752,-0.011995,0.15166,0.048361
4.4862,0.67726,0.37656,0.031892,0.65429,-0.011944,0.15798,-0.08759
4.527,0.12477,-0.082604,-0.013634,0.64617,-0.0080935,0.14427,0.096866
4.4962,-0.19399,0.091609,-0.0082321,0.63527,-0.0072528,0.12794,-0.053907
4.5131,0.98622,0.16806,-0.017025,0.6501,-0.010693,0.13655,0.0046501
4.5117,-0.88285,0.0058869,-0.061504,0.62279,-0.010288,0.11668,-0.0044522
4.4947,1.2546,0.26023,-0.030494,0.64815,-0.010583,0.14801,-0.046995
4.5242,-1.1262,-0.24925,-0.093406,0.60926,-0.0088058,0.12082,0.050892
4.4838,0.98207,0.30068,-0.01953,0.6366,-0.007426,0.15343,-0.11005
4.5286,-0.47716,-0.24242,-0.056661,0.61429,-5.23E-05,0.13329,0.08477
4.4822,0.38487,0.22957,0.021776,0.62404,0.013925,0.15303,-0.12215
4.5252,0.17604,-0.1698,-0.011546,0.59092,0.010633,0.1321,0.1185
4.4968,-0.76716,-0.058476,-0.0016615,0.54634,0.011088,0.10104,-0.0076892
4.5042,1.1172,0.12989,0.05547,0.6021,0.010017,0.15549,-0.025626
4.5142,-1.0898,-0.20025,0.019881,0.54571,0.012366,0.10988,0.011586
4.4891,1.3068,0.29848,0.098651,0.5973,0.013309,0.15844,-0.065565
4.5293,-1.2909,-0.2867,-0.0098892,0.47431,0.011364,0.041781,0.11536
4.4783,0.78539,0.33101,0.075066,0.5387,0.0079439,0.10257,-0.11276
4.5292,-0.4555,-0.16497,-0.033063,0.4814,0.0030345,0.04697,0.13048
4.4859,0.0026883,0.23742,0.030723,0.49708,0.0045233,0.060803,-0.098445
4.5141,0.45175,-0.029683,-0.0028818,0.51104,0.0039522,0.075348,0.11033
4.497,-0.89098,-0.043764,-0.025304,0.44262,0.0035607,0.010481,-0.019834
4.4994,1.213,0.23829,0.028796,0.5372,0.0039714,0.096977,-0.0018481
4.517,-1.3478,-0.15521,-0.056083,0.44222,0.0044078,-0.0050406,0.092486
4.481,1.2685,0.36056,0.072369,0.56002,0.0077064,0.10219,-0.094308
4.5278,-1.1163,-0.28103,-0.027893,0.43676,0.0075011,-0.0045525,0.1629
4.4768,0.64874,0.31409,0.094123,0.50161,0.0077192,0.068516,-0.13758
4.5266,-0.13779,-0.10449,0.014531,0.46051,0.0061662,0.032823,0.1334
4.4826,-0.12466,0.18633,0.062266,0.45278,0.010241,0.026465,-0.088199
4.5104,0.61249,0.058692,0.051604,0.47972,0.0096317,0.064027,0.066736
4.502,-1.1939,-0.076739,0.01622,0.38172,0.018045,-0.0074167,0.034464
4.49,1.3344,0.31866,0.092903,0.47937,0.051102,0.10115,-0.040399
4.5195,-1.4256,-0.14286,-0.020673,0.36941,0.042098,0.006461,0.15737
4.4737,1.0949,0.42931,0.082864,0.44813,0.046789,0.083389,-0.12454
4.5271,-0.87424,-0.10325,-0.019665,0.35898,0.048149,0.011759,0.13498
4.4751,0.45965,0.39685,0.073904,0.39733,0.052135,0.06124,-0.11517
4.5195,-0.010862,0.0044479,0.0070223,0.3643,0.05123,0.028527,0.13931
4.4875,-0.65138,0.18211,0.025957,0.32371,0.055889,-0.0071084,-0.04349
4.5021,0.91667,0.2649,0.042188,0.39008,0.055652,0.060507,0.032444
4.5047,-1.141,0.021234,-0.012972,0.29375,0.055202,-0.012548,0.025873
4.4825,1.3468,0.37962,0.075715,0.38628,0.054362,0.085302,-0.044464
4.5191,-1.3748,-0.22,-0.044232,0.25391,0.051904,-0.024351,0.14498
4.4727,1.0264,0.39792,0.071489,0.33983,0.052744,0.072208,-0.12928
4.5219,-0.75545,-0.15584,-0.037765,0.26422,0.047745,0.0043161,0.20142
4.4737,0.09092,0.2764,0.047326,0.29102,0.048618,0.031211,-0.11801
4.5121,0.27295,-0.036557,-0.0081229,0.28486,0.043657,0.042289,0.10991
4.4882,-0.70327,0.020746,-0.010377,0.21713,0.043715,0.0045858,-0.038428
4.4943,1.1224,0.24185,0.029194,0.30592,0.041097,0.10439,0.027503
4.5062,-1.4231,-0.093242,-0.043391,0.20539,0.040545,0.021963,0.10521
4.4768,1.2595,0.38959,0.063113,0.3019,0.04229,0.12307,-0.093772
4.5195,-1.2468,-0.2281,-0.063758,0.17789,0.044414,0.015362,0.16555
4.4683,0.81349,0.39595,0.043029,0.25698,0.045884,0.090491,-0.13028
4.5176,-0.4219,-0.050638,-0.057213,0.20471,0.048599,0.044517,0.15871
4.4749,-0.13844,0.3006,-0.010069,0.20427,0.039717,0.048261,-0.099224
4.5043,0.53228,0.095669,-0.045633,0.22007,0.033453,0.054195,0.10594
4.4892,-0.94831,0.030183,-0.076623,0.14105,0.039357,-0.035744,-0.00041216
4.4861,1.2399,0.32443,-0.02136,0.24555,0.034551,0.046489,-0.013555
4.5088,-1.423,-0.12766,-0.12341,0.13396,0.033717,-0.054149,0.10256
4.4706,1.2601,0.4305,-0.0026056,0.2455,0.03534,0.050091,-0.10757
4.5175,-1.0106,-0.21432,-0.11246,0.1393,0.034172,-0.055773,0.16311
4.4659,0.63103,0.36242,0.011127,0.20973,0.032273,0.013461,-0.13327
4.5138,-0.25719,-0.101,-0.060296,0.17439,0.029821,-0.011218,0.15803
4.4745,-0.52598,0.18002,-0.013685,0.15347,0.028942,-0.021185,-0.068461
4.498,0.76813,0.1597,-0.0092469,0.20317,0.027652,0.044889,0.055565
4.4929,-1.2045,-0.027814,-0.051606,0.10491,0.026606,-0.03067,0.026919
4.4781,1.2797,0.37134,0.017659,0.21443,0.027184,0.077795,-0.039645
4.51,-1.3949,-0.18218,-0.11724,0.087728,0.027517,-0.032539,0.16032
4.4654,1.0804,0.45682,-0.0066456,0.19972,0.031034,0.07215,-0.12322
4.5151,-0.9169,-0.15079,-0.11928,0.11419,0.034711,-0.0055736,0.20661
4.4645,0.19541,0.36989,-0.021502,0.16751,0.034223,0.047722,-0.12999
4.5076,0.069092,0.002617,-0.085923,0.16016,0.033062,0.038686,0.13561
4.4772,-0.59962,0.15063,-0.065332,0.12441,0.030129,0.00011616,-0.051911
4.4909,0.96321,0.22951,-0.033737,0.20473,0.030431,0.06438,0.045538
4.496,-1.3506,-0.099172,-0.10055,0.09828,0.02642,-0.043797,0.098546
4.4713,1.3123,0.40105,0.0038494,0.22227,0.031188,0.058741,-0.084524
4.5097,-1.3311,-0.21523,-0.1201,0.10458,0.016498,-0.071738,0.1647
4.4605,0.84364,0.41614,-0.0039287,0.20704,-0.00090587,0.0060628,-0.13695
4.5135,-0.61213,-0.17469,-0.12328,0.14121,0.0066347,-0.063184,0.19317
4.4641,0.050629,0.27518,-0.050578,0.17213,0.0079888,-0.036533,-0.097958
4.5007,0.38893,0.0053537,-0.089482,0.19052,0.0052421,-0.016613,0.11069
4.4805,-0.92186,0.014334,-0.081665,0.13179,0.0037468,-0.064565,0.00053702
4.4815,1.0889,0.22404,-0.011861,0.22901,0.0029639,0.037864,0.0031168
4.4986,-1.4834,-0.21056,-0.08688,0.11739,0.0013595,-0.053487,0.094944
