ds,y
316,4.4805
317,4.4815
318,4.4986
319,4.4655
320,4.5098
321,4.4569
322,4.5093
323,4.4648
324,4.4942
325,4.4826
326,4.4745
327,4.4965
328,4.4631
329,4.5012
330,4.4631
331,4.4955
332,4.4761
333,4.4756
334,4.4966
335,4.453
336,4.516
337,4.4339
338,4.5313
339,4.4272
340,4.5304
341,4.4251
342,4.5288
343,4.4226
344,4.5391
345,4.3965
346,4.5889
347,4.2924
348,4.8255
349,1.2764
350,-0.99208
351,-0.40244
352,-0.75822
353,-0.50587
354,-0.73115
355,-0.56235
356,-0.78763
357,-0.61548
358,-0.80655
359,-0.67427
360,-0.69967
361,-0.74373
362,-0.71579
363,-0.67122
364,-0.84092
365,-0.64768
366,-0.70791
367,-0.66879
368,-0.73656
369,-0.68002
370,-0.73419
371,-0.74792
372,-0.68603
373,-0.65799
374,-0.73922
375,-0.67559
376,-0.82017
377,-0.62957
378,-0.69351
379,-0.71641
380,-0.67941
381,-0.766
382,-0.60934
383,-0.77204
384,-0.70756
385,-0.63462
386,-0.77326
387,-0.62867
388,-0.75493
389,-0.61914
390,-0.7177
391,-0.76363
392,-0.66186
393,-0.66864
394,-0.67842
395,-0.69245
396,-0.64715
397,-0.69626
398,-0.68401
399,-0.70504
400,-0.63741
401,-0.68708
402,-0.64006
403,-0.66643
404,-0.70372
405,-0.63635
406,-0.71489
407,-0.6396
408,-0.72424
409,-0.65094
410,-0.65198
411,-0.69053
412,-0.6334
413,-0.69713
414,-0.61212
415,-0.66808
416,-0.66511
417,-0.6963
418,-0.69531
419,-0.62906
420,-0.69671
421,-0.68901
422,-0.61042
423,-0.69395
424,-0.61763
425,-0.62258
426,-0.68083
427,-0.57749
428,-0.69225
429,-0.57677
430,-0.65512
431,-0.64692
432,-0.58606
433,-0.68368
434,-0.58767
435,-0.63413
436,-0.66114
437,-0.56774
438,-0.69093
439,-0.57933
440,-0.6434
441,-0.65911
442,-0.565
443,-0.70106
444,-0.56902
445,-0.65393
446,-0.64303
447,-0.57824
448,-0.69079
449,-0.57329
450,-0.64807
451,-0.64995
452,-0.5597
453,-0.70404
454,-0.55111
455,-0.66162
456,-0.62442
457,-0.57067
458,-0.68666
459,-0.55517
460,-0.64204
461,-0.6253
462,-0.56095
463,-0.6795
464,-0.55234
465,-0.61672
466,-0.64594
467,-0.51384
468,-0.69831
469,-0.51865
470,-0.64029
471,-0.61509
472,-0.55569
473,-0.68885
474,-0.52045
475,-0.60604
476,-0.60482
477,-0.6032
478,-0.6123
479,-0.59272
480,-0.62395
481,-0.59365
482,-0.60131
483,-0.61452
484,-0.6038
485,-0.61735
486,-0.60104
487,-0.61761
488,-0.60901
489,-0.61117
490,-0.61104
491,-0.60947
492,-0.60992
493,-0.61327
494,-0.60866
495,-0.61276
496,-0.612
497,-0.60079
498,-0.61759
499,-0.59621
500,-0.61727
501,-0.6031
502,-0.60863
503,-0.61379
504,-0.60253
505,-0.61893
506,-0.60276
507,-0.61673
508,-0.60627
509,-0.60805
510,-0.6142
511,-0.60642
512,-0.61347
513,-0.60953
514,-0.61016
515,-0.61088
516,-0.60957
517,-0.60975
518,-0.61236
519,-0.60752
520,-0.61459
521,-0.60867
522,-0.60876
523,-0.61413
524,-0.60642
525,-0.61607
526,-0.60636
527,-0.61246
528,-0.61195
529,-0.60687
530,-0.61572
531,-0.60556
532,-0.61358
533,-0.60962
534,-0.60939
535,-0.61262
536,-0.60838
537,-0.61156
538,-0.61226
539,-0.60805
540,-0.61296
541,-0.60954
542,-0.60897
543,-0.61214
544,-0.60738
545,-0.61416
546,-0.60786
547,-0.60909
548,-0.61285
549,-0.60569
550,-0.61429
551,-0.60707
552,-0.61088
553,-0.61172
554,-0.6068
555,-0.61372
556,-0.60759
557,-0.61038
558,-0.61122
559,-0.60698
560,-0.61274
561,-0.6078
562,-0.60998
563,-0.61206
564,-0.60625
565,-0.61305
566,-0.6078
567,-0.60891
568,-0.61241
569,-0.60449
570,-0.61395
571,-0.60609
572,-0.60964
573,-0.61178
574,-0.60525
575,-0.61367
576,-0.6065
577,-0.60959
578,-0.6116
579,-0.6043
580,-0.61257
581,-0.60698
582,-0.60841
583,-0.61193
584,-0.60505
585,-0.61265
586,-0.60678
587,-0.60804
588,-0.61263
589,-0.60391
590,-0.61291
591,-0.60714
592,-0.6075
593,-0.6131
594,-0.60317
595,-0.61376
596,-0.60649
597,-0.60741
598,-0.61172
599,-0.60343
600,-0.61156
601,-0.60714
602,-0.60565
603,-0.61259
604,-0.60284
605,-0.61137
606,-0.60741
607,-0.60413
608,-0.61327
609,-0.60159
610,-0.60958
611,-0.6085
612,-0.60124
613,-0.61543
614,-0.5993
615,-0.6126
616,-0.60675
617,-0.60289
618,-0.61555
619,-0.59671
620,-0.61283
621,-0.60512
622,-0.60169
623,-0.61469
624,-0.59755
625,-0.61485
626,-0.60696
627,-0.60328
628,-0.61297
629,-0.60231
630,-0.61078
631,-0.60864
632,-0.60047
633,-0.61544
634,-0.59973
635,-0.60799
636,-0.60798
637,-0.59927
638,-0.61418
639,-0.59887
640,-0.60743
641,-0.61023
642,-0.59786
643,-0.61453
644,-0.59845
645,-0.60826
646,-0.60854
647,-0.59701
648,-0.61381
649,-0.599
650,-0.60671
651,-0.60821
652,-0.59838
653,-0.61301
654,-0.60065
655,-0.6068
656,-0.60844
657,-0.6013
658,-0.6131
659,-0.60122
660,-0.60996
661,-0.60693
662,-0.6019
663,-0.61245
664,-0.60008
665,-0.60755
666,-0.6096
667,-0.59873
668,-0.61578
669,-0.5975
670,-0.60806
671,-0.60518
672,-0.60211
673,-0.60685
674,-0.60255
675,-0.59432
676,-0.61772
677,-0.52654
678,-0.5641
679,-0.48668
680,-0.31383
681,-0.54592
682,-0.46774
683,-0.2956
684,-0.54876
685,-0.33298
686,-0.44237
687,-0.43135
688,-0.41232
689,-0.42152
690,-0.31641
691,-0.51444
692,-0.30259
693,-0.27401
694,-0.53981
695,-0.28911
696,-0.52423
697,-0.44951
698,-0.25507
699,-0.48051
700,-0.42296
701,-0.27989
702,-0.48039
703,-0.38436
704,-0.31278
705,-0.44402
706,-0.45619
707,-0.42388
708,-0.35046
709,-0.27985
710,-0.48034
711,-0.265
712,-0.69023
713,-0.17775
714,-0.38026
715,-0.44786
716,-0.343
717,-0.51195
718,-0.33161
719,-0.34832
720,-0.55041
721,-0.13611
722,-0.37974
723,-0.25481
724,-0.40403
725,-0.4653
726,-0.25288
727,-0.50102
728,-0.29304
729,-0.45547
730,-0.48463
731,-0.35403
732,-0.43464
733,-0.30917
734,-0.48546
735,-0.39271
736,-0.45733
737,-0.44711
738,-0.46859
739,-0.38867
740,-0.49209
741,-0.3487
742,-0.38369
743,-0.46334
744,-0.22472
745,-0.50107
746,-0.35891
747,-0.46825
748,-0.51162
749,-0.44257
750,-0.53644
751,-0.36727
752,-0.45643
753,-0.47732
754,-0.48128
755,-0.41932
756,-0.42696
757,-0.5225
758,-0.38354
759,-0.54274
760,-0.38971
761,-0.45202
762,-0.43036
763,-0.50737
764,-0.40149
765,-0.45756
766,-0.43129
767,-0.46337
768,-0.46057
769,-0.34435
770,-0.38975
771,-0.52441
772,-0.31981
773,-0.47134
774,-0.34426
775,-0.4932
776,-0.38517
777,-0.2798
778,-0.52771
779,-0.34435
780,-0.45629
781,-0.44932
782,-0.43216
783,-0.45113
784,-0.46381
785,-0.43625
786,-0.46182
787,-0.48978
788,-0.48402
789,-0.4766
790,-0.4536
791,-0.57181
792,-0.4387
793,-0.54783
794,-0.46149
795,-0.49951
796,-0.47049
797,-0.38716
798,-0.5743
799,-0.5057
800,-0.47992
801,-0.51292
802,-0.43904
803,-0.58824
804,-0.42997
805,-0.48037
806,-0.55667
807,-0.46063
808,-0.50261
809,-0.52928
810,-0.45239
811,-0.55897
812,-0.44163
813,-0.58261
814,-0.44302
815,-0.52036
816,-0.57915
817,-0.49929
818,-0.58334
819,-0.52997
820,-0.50979
821,-0.55221
822,-0.50928
823,-0.5515
824,-0.53858
825,-0.48694
826,-0.48977
827,-0.55798
828,-0.47205
829,-0.61157
830,-0.4962
831,-0.55115
832,-0.50619
833,-0.52942
834,-0.54952
835,-0.4729
836,-0.62131
837,-0.48587
838,-0.52628
839,-0.54682
840,-0.51069
841,-0.60411
842,-0.52453
843,-0.50729
844,-0.52608
845,-0.56013
846,-0.56436
847,-0.54854
848,-0.56472
849,-0.56653
850,-0.51702
851,-0.54942
852,-0.60159
853,-0.56068
854,-0.59916
855,-0.55279
856,-0.58724
857,-0.59375
858,-0.5355
859,-0.65153
860,-0.52094
861,-0.62234
862,-0.59729
863,-0.54903
864,-0.65121
865,-0.54536
866,-0.61622
867,-0.61182
868,-0.54754
869,-0.65087
870,-0.56449
871,-0.59927
872,-0.63832
873,-0.53281
874,-0.66969
875,-0.54948
876,-0.60778
877,-0.6347
878,-0.54382
879,-0.65401
880,-0.58556
881,-0.57364
882,-0.67336
883,-0.52064
884,-0.67361
885,-0.57449
886,-0.59652
887,-0.64704
888,-0.56459
889,-0.62753
890,-0.64062
891,-0.53017
892,-0.7116
893,-0.52221
894,-0.65764
895,-0.61245
896,-0.58245
897,-0.67179
898,-0.63451
899,-0.57166
900,-0.70755
901,-0.51863
902,-0.62014
903,-0.63583
904,-0.61782
905,-0.60834
906,-0.60279
907,-0.60952
908,-0.61065
909,-0.59532
910,-0.63172
911,-0.57845
912,-0.6506
913,-0.62709
914,-0.60616
915,-0.60328
916,-0.59924
917,-0.61354
918,-0.5927
919,-0.60601
920,-0.60146
921,-0.59895
922,-0.60359
923,-0.60123
924,-0.59889
925,-0.60627
926,-0.59844
927,-0.6025
928,-0.60745
929,-0.59246
930,-0.61572
931,-0.59094
932,-0.6102
933,-0.6033
934,-0.59762
935,-0.60905
936,-0.59321
937,-0.61068
938,-0.59775
939,-0.6008
940,-0.60527
941,-0.59747
942,-0.60297
943,-0.60176
944,-0.60499
945,-0.59974
946,-0.60267
947,-0.59548
948,-0.60774
949,-0.59172
950,-0.60805
951,-0.5983
952,-0.59809
953,-0.60564
954,-0.59294
955,-0.60822
956,-0.59643
957,-0.60092
958,-0.60439
959,-0.59442
960,-0.60357
961,-0.59998
962,-0.60043
963,-0.59897
964,-0.60289
965,-0.59866
966,-0.60339
967,-0.59672
968,-0.60593
969,-0.59799
970,-0.5987
971,-0.60678
972,-0.59213
973,-0.60781
974,-0.59636
975,-0.60035
976,-0.60566
977,-0.59291
978,-0.60765
979,-0.59511
980,-0.60239
981,-0.60071
982,-0.59833
983,-0.60087
984,-0.60156
985,-0.59807
986,-0.60218
987,-0.59998
988,-0.5988
989,-0.60654
990,-0.592
991,-0.60737
992,-0.59675
993,-0.59829
994,-0.60351
995,-0.59527
996,-0.60708
997,-0.59345
998,-0.60332
999,-0.60146
1000,-0.59511
1001,-0.60465
1002,-0.59628
1003,-0.60239
1004,-0.60102
1005,-0.59522
1006,-0.6016
1007,-0.60133
1008,-0.59501
1009,-0.60568
1010,-0.59395
1011,-0.60259
1012,-0.602
1013,-0.59104
1014,-0.61201
1015,-0.59138
1016,-0.60048
1017,-0.60222
1018,-0.594
1019,-0.60937
1020,-0.59162
1021,-0.60131
1022,-0.60044
1023,-0.59491
1024,-0.6047
1025,-0.59551
1026,-0.59847
1027,-0.60521
1028,-0.59254
1029,-0.60283
1030,-0.59786
1031,-0.59389
1032,-0.61016
1033,-0.58883
1034,-0.6057
1035,-0.59949
1036,-0.59333
1037,-0.60865
1038,-0.59019
1039,-0.60246
1040,-0.59976
1041,-0.59581
1042,-0.60715
1043,-0.59145
1044,-0.60078
1045,-0.60011
1046,-0.5943
1047,-0.60144
1048,-0.59442
1049,-0.5977
1050,-0.60491
1051,-0.59146
1052,-0.60269
1053,-0.59869
1054,-0.59051
1055,-0.60673
1056,-0.58747
1057,-0.60166
1058,-0.59786
1059,-0.59114
1060,-0.60521
1061,-0.59131
1062,-0.59646
1063,-0.60172
1064,-0.58947
1065,-0.60301
1066,-0.59489
1067,-0.59413
1068,-0.60295
1069,-0.58864
1070,-0.60101
1071,-0.59616
1072,-0.59055
1073,-0.60533
1074,-0.58701
1075,-0.60088
1076,-0.59599
1077,-0.59105
1078,-0.60135
1079,-0.5927
1080,-0.5931
1081,-0.60391
1082,-0.58219
1083,-0.61036
1084,-0.58364
1085,-0.60412
1086,-0.58537
1087,-0.59633
1088,-0.59594
1089,-0.83081
1090,-0.58549
1091,-0.76008
1092,-0.858
1093,-0.62697
1094,-0.81762
1095,-0.71379
1096,-0.81408
1097,-0.71461
1098,-0.7096
1099,-0.92004
1100,-0.64225
1101,-0.64809
1102,-0.91362
1103,-0.64823
1104,-0.80128
1105,-0.80864
1106,-0.71128
1107,-0.92086
1108,-0.63836
1109,-0.80338
1110,-0.72862
1111,-0.6549
1112,-1.002
1113,-0.60896
1114,-0.86006
1115,-0.80874
1116,-0.67727
1117,-1.0343
1118,-0.57448
1119,-0.87338
1120,-0.80098
1121,-0.71447
1122,-0.79035
1123,-0.70551
1124,-0.80662
1125,-0.80453
1126,-0.64811
1127,-0.88884
1128,-0.64042
1129,-0.906
1130,-0.81165
1131,-0.75407
1132,-0.84271
1133,-0.61657
1134,-0.79629
1135,-0.76618
1136,-0.77818
1137,-0.76707
1138,-0.7729
1139,-0.77537
1140,-0.73217
1141,-0.77918
1142,-0.75576
1143,-0.8218
1144,-0.75451
1145,-0.79227
1146,-0.79428
1147,-0.70631
1148,-0.92398
1149,-0.77633
1150,-0.81862
1151,-0.75774
1152,-0.77285
1153,-0.70169
1154,-0.80631
1155,-0.72748
1156,-0.73229
1157,-0.81691
1158,-0.69639
1159,-0.86721
1160,-0.69397
1161,-0.7863
1162,-0.70222
1163,-0.87506
1164,-0.60289
1165,-0.73523
1166,-0.82339
1167,-0.66026
1168,-0.79778
1169,-0.7126
1170,-0.72798
1171,-0.76645
1172,-0.79516
1173,-0.69559
1174,-0.71755
1175,-0.82766
1176,-0.69407
1177,-0.69937
1178,-0.69885
1179,-0.75301
1180,-0.65254
1181,-0.68246
1182,-0.76862
1183,-0.68932
1184,-0.65605
1185,-0.65949
1186,-0.63728
1187,-0.80391
1188,-0.59974
1189,-0.82096
1190,-0.59685
1191,-0.76442
1192,-0.69397
1193,-0.77808
1194,-0.81724
1195,-0.67472
1196,-0.7456
1197,-0.74042
1198,-0.76523
1199,-0.79921
1200,-0.67474
1201,-0.75237
1202,-0.7496
1203,-0.77128
1204,-0.83912
1205,-0.77352
1206,-0.67888
1207,-0.67868
1208,-0.69237
1209,-0.77801
1210,-0.64936
1211,-0.74999
1212,-0.7145
1213,-0.60592
1214,-0.73452
1215,-0.61702
1216,-0.74523
1217,-0.69942
1218,-0.64503
1219,-0.69657
1220,-0.62503
1221,-0.77395
1222,-0.66902
1223,-0.65443
1224,-0.62692
1225,-0.67808
1226,-0.73197
1227,-0.6906
1228,-0.6257
1229,-0.71023
1230,-0.60498
1231,-0.73985
1232,-0.67732
1233,-0.59375
1234,-0.68551
1235,-0.6082
1236,-0.71199
1237,-0.6547
1238,-0.70628
1239,-0.67885
1240,-0.58879
1241,-0.69627
1242,-0.61847
1243,-0.68257
1244,-0.69398
1245,-0.63484
1246,-0.66418
1247,-0.61571
1248,-0.65825
1249,-0.60416
1250,-0.6737
1251,-0.69898
1252,-0.60601
1253,-0.61156
1254,-0.64969
1255,-0.66894
1256,-0.60968
1257,-0.62937
1258,-0.63373
1259,-0.72364
1260,-0.60477
1261,-0.62492
1262,-0.58662
1263,-0.59391
1264,-0.65934
1265,-0.58729
1266,-0.72933
1267,-0.59416
1268,-0.6365
1269,-0.65083
1270,-0.60462
1271,-0.63371
1272,-0.56998
1273,-0.66318
1274,-0.6269
1275,-0.61231
1276,-0.61739
1277,-0.62998
1278,-0.61394
1279,-0.60921
1280,-0.56894
1281,-0.67221
1282,-0.50956
1283,-0.67491
1284,-0.54759
1285,-0.60571
1286,-0.62067
1287,-0.54674
1288,-0.63399
1289,-0.57981
1290,-0.56632
1291,-0.64952
1292,-0.51985
1293,-0.65767
1294,-0.55116
1295,-0.59191
1296,-0.62848
1297,-0.53301
1298,-0.64123
1299,-0.56592
1300,-0.5756
1301,-0.64438
1302,-0.51419
1303,-0.66377
1304,-0.54667
1305,-0.58482
1306,-0.6361
1307,-0.51054
1308,-0.66464
1309,-0.53188
1310,-0.59204
1311,-0.61897
1312,-0.51341
1313,-0.64899
1314,-0.53417
1315,-0.57456
1316,-0.62038
1317,-0.5014
1318,-0.63687
1319,-0.53508
1320,-0.55317
1321,-0.6305
1322,-0.47044
1323,-0.66915
1324,-0.52158
1325,-0.53513
1326,-0.59247
1327,-0.52809
1328,-0.57383
1329,-0.55041
1330,-0.57116
1331,-0.5722
1332,-0.56512
1333,-0.58286
1334,-0.5627
1335,-0.58102
1336,-0.57306
1337,-0.57393
1338,-0.57803
1339,-0.56258
1340,-0.58437
1341,-0.56619
1342,-0.57853
1343,-0.57365
1344,-0.57334
1345,-0.57631
1346,-0.5727
1347,-0.57433
1348,-0.57503
1349,-0.57382
1350,-0.57478
1351,-0.57725
1352,-0.56841
1353,-0.58022
1354,-0.56806
1355,-0.57484
1356,-0.57612
1357,-0.57094
1358,-0.58247
1359,-0.56236
1360,-0.5821
1361,-0.56821
1362,-0.57587
1363,-0.57571
1364,-0.56625
1365,-0.58065
1366,-0.56677
1367,-0.57785
1368,-0.5716
1369,-0.57277
1370,-0.57568
1371,-0.57316
1372,-0.57339
1373,-0.57361
1374,-0.57313
1375,-0.57324
1376,-0.57573
1377,-0.56947
1378,-0.57874
1379,-0.5696
1380,-0.5774
1381,-0.57352
1382,-0.5711
1383,-0.57997
1384,-0.56686
1385,-0.58128
1386,-0.56769
1387,-0.57522
1388,-0.57488
1389,-0.56958
1390,-0.5781
1391,-0.57109
1392,-0.57577
1393,-0.56967
1394,-0.57264
1395,-0.57567
1396,-0.57413
1397,-0.57268
1398,-0.57587
1399,-0.57196
1400,-0.57514
1401,-0.57506
1402,-0.57007
1403,-0.57882
1404,-0.56959
1405,-0.57808
1406,-0.57278
1407,-0.57335
1408,-0.57709
1409,-0.57029
1410,-0.57733
1411,-0.5722
1412,-0.57356
1413,-0.57587
1414,-0.57017
1415,-0.57669
1416,-0.57262
1417,-0.57264
1418,-0.57597
1419,-0.57092
1420,-0.57571
1421,-0.57374
1422,-0.57124
1423,-0.57787
1424,-0.5687
1425,-0.57624
1426,-0.57366
1427,-0.57148
1428,-0.57824
1429,-0.56838
1430,-0.57751
1431,-0.57237
1432,-0.57189
1433,-0.57761
1434,-0.56807
1435,-0.57739
1436,-0.5717
1437,-0.57235
1438,-0.57588
1439,-0.56972
1440,-0.57475
1441,-0.57381
1442,-0.56946
1443,-0.57733
1444,-0.56829
1445,-0.5743
1446,-0.57482
1447,-0.56835
1448,-0.57957
1449,-0.56814
1450,-0.57578
1451,-0.57375
1452,-0.56745
1453,-0.57766
1454,-0.56607
1455,-0.57569
1456,-0.57036
1457,-0.57217
1458,-0.57511
1459,-0.571
1460,-0.57386
1461,-0.57432
1462,-0.56777
1463,-0.57719
1464,-0.57057
1465,-0.56919
1466,-0.57905
1467,-0.56027
1468,-0.5833
1469,-0.56549
1470,-0.57395
1471,-0.57557
1472,-0.56174
1473,-0.58439
1474,-0.5596
1475,-0.58006
1476,-0.57114
1477,-0.56906
1478,-0.57657
1479,-0.5661
1480,-0.57174
1481,-0.57633
1482,-0.56241
1483,-0.58282
1484,-0.56407
1485,-0.57411
1486,-0.57539
1487,-0.56403
1488,-0.57727
1489,-0.56882
1490,-0.56993
1491,-0.57616
1492,-0.56301
1493,-0.57779
1494,-0.56738
1495,-0.56864
1496,-0.57706
1497,-0.56185
1498,-0.57871
1499,-0.56646
1500,-0.56846
1501,-0.57818
1502,-0.56115
1503,-0.57732
1504,-0.56688
1505,-0.56849
1506,-0.57586
1507,-0.5629
1508,-0.57788
1509,-0.56949
1510,-0.56887
1511,-0.57771
1512,-0.5657
1513,-0.57793
1514,-0.56738
1515,-0.56963
1516,-0.57574
1517,-0.56314
1518,-0.57455
1519,-0.57154
1520,-0.56613
1521,-0.57925
1522,-0.56022
1523,-0.58316
1524,-0.55949
1525,-0.5765
1526,-0.56368
1527,-0.56918
1528,-0.55876
1529,-0.58515
1530,-0.5276
1531,-0.62522
1532,-0.24101
1533,-0.47222
1534,-0.43583
1535,-0.29206
1536,-0.49719
1537,-0.50094
1538,-0.29666
1539,-0.37826
1540,-0.27616
1541,-0.38069
1542,-0.3769
1543,-0.32819
1544,-0.46882
1545,-0.31089
1546,-0.56074
1547,-0.3614
1548,-0.26159
1549,-0.42928
1550,-0.29363
1551,-0.33099
1552,-0.33449
1553,-0.40079
1554,-0.3432
1555,-0.50029
1556,-0.25514
1557,-0.42495
1558,-0.35009
1559,-0.41833
1560,-0.35409
1561,-0.29197
1562,-0.34744
1563,-0.35499
1564,-0.46756
1565,-0.31049
1566,-0.34532
1567,-0.49462
1568,-0.2586
1569,-0.47323
1570,-0.25162
1571,-0.37959
1572,-0.35003
1573,-0.3177
1574,-0.33105
1575,-0.26793
1576,-0.46827
1577,-0.17545
1578,-0.43211
1579,-0.27297
1580,-0.33976
1581,-0.38983
1582,-0.3106
1583,-0.47913
1584,-0.21953
1585,-0.43232
1586,-0.31083
1587,-0.37198
1588,-0.42709
1589,-0.35903
1590,-0.40001
1591,-0.4959
1592,-0.38676
1593,-0.34701
1594,-0.40785
1595,-0.37425
1596,-0.35891
1597,-0.29097
1598,-0.35894
1599,-0.34111
1600,-0.38474
1601,-0.37698
1602,-0.31271
1603,-0.51277
1604,-0.44772
1605,-0.38946
1606,-0.47449
1607,-0.33168
1608,-0.46903
1609,-0.46894
1610,-0.39567
1611,-0.45421
1612,-0.4358
1613,-0.4588
1614,-0.47411
1615,-0.36616
1616,-0.27407
1617,-0.52064
1618,-0.42272
1619,-0.46911
1620,-0.34066
1621,-0.47329
1622,-0.27229
1623,-0.4441
1624,-0.38653
1625,-0.33459
1626,-0.34204
1627,-0.42558
1628,-0.38551
1629,-0.37141
1630,-0.40572
1631,-0.33582
1632,-0.32206
1633,-0.33426
1634,-0.45296
1635,-0.37907
1636,-0.46063
1637,-0.41856
1638,-0.31561
1639,-0.5286
1640,-0.4418
1641,-0.42389
1642,-0.44537
1643,-0.43252
1644,-0.57754
1645,-0.34162
1646,-0.47145
1647,-0.43003
1648,-0.49289
1649,-0.45111
1650,-0.45675
1651,-0.472
1652,-0.47904
1653,-0.45326
1654,-0.42536
1655,-0.45118
1656,-0.44971
1657,-0.46361
1658,-0.43139
1659,-0.51879
1660,-0.46874
1661,-0.40001
1662,-0.5785
1663,-0.32644
1664,-0.5458
1665,-0.44304
1666,-0.52714
1667,-0.50961
1668,-0.41573
1669,-0.60066
1670,-0.4228
1671,-0.41271
1672,-0.51852
1673,-0.51264
1674,-0.50507
1675,-0.50335
1676,-0.47447
1677,-0.51138
1678,-0.57079
1679,-0.41224
1680,-0.51422
1681,-0.47573
1682,-0.53978
1683,-0.40478
1684,-0.53333
1685,-0.52477
1686,-0.43165
1687,-0.56427
1688,-0.48424
1689,-0.51386
1690,-0.49362
1691,-0.43012
1692,-0.49851
1693,-0.52308
1694,-0.57467
1695,-0.4913
1696,-0.51339
1697,-0.50913
1698,-0.5167
1699,-0.49366
1700,-0.52111
1701,-0.50732
1702,-0.53336
1703,-0.53005
1704,-0.51063
1705,-0.53404
1706,-0.50104
1707,-0.59177
1708,-0.52249
1709,-0.5244
