name	selling_price	year	seller_type	owner	km_driven	ex_showroom_price
Royal Enfield Classic Desert Storm	150000	2017	Individual	1	16500	181445
Royal Enfield Thunderbird 350X	150000	2018	Individual	1	8500	
Bajaj Dominar 400 [2018]	150000	2018	Individual	1	5475	163331
Royal Enfield Classic Desert Storm	150000	2015	Individual	1	23000	181445
Royal Enfield Classic 350	150000	2017	Individual	1	7000	
KTM RC 200	150000	2017	Individual	1	20000	
Royal Enfield Bullet 350 [2007-2011]	150000	1995	Individual	3	20000	
Royal Enfield Classic 350	145000	2017	Individual	1	2200	
Royal Enfield Thunderbird 350X	145000	2019	Individual	1	2700	164004
Royal Enfield Himalayan	145000	2017	Individual	1	14000	
Yamaha FZ25	145000	2019	Individual	1	4500	133680
Yamaha Fazer 25	145000	2018	Individual	2	4100	142680
Bajaj Dominar 400	145000	2019	Individual	1	1200	160000
Royal Enfield Classic Gunmetal Grey	140000	2018	Individual	1	22000	148114
Royal Enfield Thunderbird 350X	140000	2018	Individual	1	5505	
UM Renegade Commando	140000	2017	Individual	2	40000	180525
Royal Enfield Classic 350	140000	2018	Individual	1	20000	
Royal Enfield Classic 350	140000	2016	Individual	1	3654	
Royal Enfield Classic Squadron Blue	140000	2017	Individual	1	25000	181445
Royal Enfield Classic Gunmetal Grey	140000	2018	Individual	1	14000	148114
Bajaj Dominar 400	138000	2017	Individual	1	15000	
Royal Enfield Classic Gunmetal Grey	135000	2018	Individual	1	6100	148114
KTM 200 Duke	135000	2018	Individual	1	24000	
Royal Enfield Classic Chrome	135000	2015	Individual	1	45000	189313
KTM 250 Duke	135000	2017	Individual	1	16500	
Royal Enfield Classic 350	135000	2017	Individual	1	15000	
Royal Enfield Classic 350	135000	2017	Individual	1	2700	
Royal Enfield Thunderbird 350	135000	2016	Individual	1	4500	
Royal Enfield Classic 350	135000	2019	Individual	1	4100	147000
KTM RC390	135000	2017	Individual	1	21700	237000
Hyosung GT250R	135000	2016	Individual	2	16500	345000
KTM 390 Duke ABS [2013-2016]	130000	2015	Individual	1	50000	202127
KTM RC 200	130000	2017	Individual	1	27000	
Royal Enfield Bullet 500	130000	2015	Individual	1	34601	168482
Royal Enfield Classic Desert Storm	130000	2015	Individual	2	25000	181445
Yamaha FZ25	130000	2017	Individual	1	4000	132680
KTM 125 Duke	130000	2019	Individual	1	3500	
KTM 200 Duke	130000	2016	Individual	1	12000	
Royal Enfield Classic 350	130000	2018	Individual	2	35000	
Royal Enfield Classic 350	130000	1993	Individual	2	10000	
Bajaj Dominar 400	125000	2017	Individual	1	12800	
Royal Enfield Classic 350	125000	2017	Individual	1	18000	
Royal Enfield Classic 350	125000	2017	Individual	1	36000	
Royal Enfield Thunderbird 350	125000	2017	Individual	1	23500	
Kawasaki Ninja 250R	125000	2010	Individual	2	21000	317934
Royal Enfield Classic 350	125000	2017	Individual	1	33900	
Royal Enfield Thunderbird 500	125000	2014	Individual	1	25000	190874
TVS Apache RTR 200 4V	125000	2019	Individual	1	3000	
Royal Enfield Thunder 350	125000	2015	Individual	1	15000	150000
Royal Enfield Bullet 350	123000	2016	Individual	1	7000	
Yamaha FZ25	120000	2018	Individual	1	39000	132680
Honda CBR-250R	120000	2016	Individual	1	16000	202310
Yamaha FZ25	120000	2017	Individual	1	9000	132680
Yamaha YZF R15 V3	120000	2018	Individual	1	11500	
KTM RC 200	120000	2015	Individual	1	20000	
Royal Enfield Thunderbird 350	120000	2017	Individual	1	4050	
Royal Enfield Thunderbird 350	120000	2017	Individual	2	9000	
KTM 200 Duke	120000	2017	Individual	1	4100	
Royal Enfield Thunderbird 350	120000	2016	Individual	1	24600	
Yamaha Fazer 25	120000	2018	Individual	1	6000	142680
Bajaj Pulsar 220F	120000	2019	Individual	1	6500	
Royal Enfield Electra Twinspark	120000	2016	Individual	1	345000	
Royal Enfield Classic 350	120000	2017	Individual	1	7199	
Royal Enfield Thunderbird 350	120000	2015	Individual	1	10000	
Royal Enfield Thunder 350	120000	2018	Individual	1	18000	150000
Royal Enfield Classic 350	120000	2019	Individual	1	11000	147000
KTM RC200	120000	2018	Individual	1	6000	178000
Royal Enfield Himalayan	119000	2016	Individual	1	19800	
Yamaha Fazer 25	115000	2018	Individual	1	11000	142680
Royal Enfield Thunder 350	115000	2018	Individual	1	8700	150000
KTM 390 Duke 	115000	2016	Individual	1	7000	240000
Mahindra Mojo XT300	115000	2018	Individual	1	35000	140000
Royal Enfield Classic 350	115000	2017	Individual	1	17000	147000
Royal Enfield Classic 350	111000	2017	Individual	1	17500	147000
Royal Enfield Thunderbird 350	110000	2016	Individual	1	20000	
Yamaha FZ25	110000	2019	Individual	1	10000	133680
Royal Enfield Bullet 350	110000	2015	Individual	1	36000	
Honda CBR150 R	110000	2017	Individual	1	11800	129662
Bajaj Pulsar 220F	110000	2019	Individual	1	4000	
Royal Enfield Continental GT [2013 - 2018]	110000	2014	Individual	1	12077	208902
Royal Enfield Classic 350	110000	2015	Individual	1	33000	147000
Royal Enfield Thunder 500	110000	2017	Individual	1	14000	190000
Royal Enfield Classic 350	110000	2017	Individual	1	26000	147000
Hero Xpulse 200T	105000	2019	Individual	1	2900	96500
Bajaj Pulsar RS 200	105000	2017	Individual	1	18345	
TVS Apache RTR 160 4V	105000	2019	Individual	1	6000	
Royal Enfield Thunder 500	105000	2015	Individual	1	5400	190000
Bajaj Pulsar RS200	105000	2018	Individual	1	5700	126000
Royal Enfield Thunder 350	105000	2013	Individual	1	6900	150000
Royal Enfield Bullet 350	105000	2018	Individual	1	6000	117000
Royal Enfield Classic 500	100000	2013	Individual	1	18000	156304
Royal Enfield Thunderbird 350	100000	2015	Individual	1	14500	
TVS Apache RTR 200 4V	100000	2017	Individual	1	45000	
Royal Enfield Classic Desert Storm	100000	2012	Individual	1	15000	181445
Honda CBR-250R	100000	2014	Individual	1	19000	199275
Royal Enfield Thunderbird 350	100000	2015	Individual	1	30000	
Suzuki Intruder 150 Fi	100000	2018	Individual	1	14500	110240
Honda CBR-250R	100000	2011	Individual	2	3500	171646
Bajaj Pulsar 180F	100000	2019	Individual	1	1300	
Suzuki Gixxer SF Fi	100000	2019	Individual	1	7000	103170
Hero Xpulse 200	100000	2019	Individual	1	8500	107500
Royal Enfield Thunderbird 350	100000	2012	Individual	1	28000	
Royal Enfield Classic 350	100000	2014	Individual	1	19000	
Royal Enfield Electra Twinspark	100000	2014	Individual	1	31500	
Royal Enfield Classic 350	100000	2015	Individual	1	46500	147000
Royal Enfield Electra 5 S	99000	2006	Individual	2	36000	
Royal Enfield Electra 5 S	99000	2012	Individual	1	28000	
Vespa SXL 149	98000	2019	Individual	1	1000	
Hero Xpulse 200	98000	2019	Individual	1	8500	107500
Suzuki Intruder 150	95000	2018	Individual	1	21938	
TVS Apache RTR 200 4V	95000	2018	Individual	1	9600	
TVS Apache RTR 200 4V	95000	2018	Individual	1	9600	
Honda CB Hornet 160R	95000	2019	Individual	1	8000	94703
Royal Enfield Classic 350	95000	2015	Individual	1	9800	
Bajaj Avenger Street 220	95000	2018	Individual	1	23000	95955
Bajaj Avenger Cruise 220	95000	2018	Individual	1	1800	
Royal Enfield Classic 500	95000	2014	Individual	1	11500	175000
Royal Enfield Thunderbird 350	90000	2015	Individual	3	13000	
Royal Enfield Electra 5 S	90000	2010	Individual	2	40000	
Royal Enfield Bullet 350	90000	2014	Individual	1	13000	
Royal Enfield Electra 4 S	90000	2008	Individual	1	50000	
Royal Enfield Bullet 350 [2007-2011]	90000	2007	Individual	1	3500	
Hero Xpulse 200	90000	2019	Individual	1	8600	107500
Royal Enfield Thunderbird 350	90000	2014	Individual	1	12000	
TVS Apache RTR 200 4V	90000	2019	Individual	1	20000	
Yamaha FZ25	90000	2018	Individual	1	8200	132680
Yamaha FZ S V 2.0	90000	2018	Individual	1	10500	87042
TVS Apache RTR 200 4V	90000	2018	Individual	1	70000	
Royal Enfield Electra 5 S	90000	2012	Individual	1	40000	
Royal Enfield Classic 500	90000	2011	Individual	1	40000	175000
Bajaj Avenger 220	90000	2019	Individual	1	1300	95000
TVS Apache RTR 160	89999	2019	Individual	1	6400	
Bajaj Avenger Cruise 220	87000	2018	Individual	1	8000	
Royal Enfield Thunderbird 350	87000	2012	Individual	1	20477	
Hero Xtreme 200R	87000	2019	Individual	1	3200	93400
Hero Xtreme 200R	86000	2018	Individual	1	12000	93400
TVS Apache RTR 160 4V	85009	2018	Individual	1	7500	
Yamaha FZ S V 2.0	85000	2018	Individual	1	8000	84042
Royal Enfield Thunderbird 350	85000	2013	Individual	1	21000	
Bajaj Pulsar NS160	85000	2018	Individual	1	7004	
Royal Enfield Classic 350	85000	2013	Individual	1	49000	
TVS Apache RTR 200 4V	85000	2018	Individual	1	10000	
Honda CBR-250R	85000	2014	Individual	2	18600	171646
Bajaj Pulsar NS200	85000	2018	Individual	1	7750	
Royal Enfield Thunderbird 350	85000	2010	Individual	1	15000	
Royal Enfield Electra 5 S	85000	2008	Individual	1	20000	
Yamaha YZF R15 S	85000	2017	Individual	1	13000	117926
Yamaha YZF R15 S	85000	2016	Individual	1	26000	117926
Bajaj Avenger Street 160	85000	2019	Individual	1	3000	
Bajaj Pulsar NS200	85000	2018	Individual	2	15100	
Yamaha FZ S V 2.0	85000	2018	Individual	1	50000	87042
Bajaj Pulsar 180	85000	2016	Individual	1	35000	85011
Bajaj Pulsar NS200	85000	2018	Individual	1	17500	
Royal Enfield Thunderbird 350	83900	2014	Individual	2	22000	
TVS Apache RTR 160	83299	2019	Individual	1	6400	
Bajaj Avenger Street 220	80000	2018	Individual	1	21178	95955
TVS Apache RTR 160 4V	80000	2018	Individual	1	15210	
Suzuki Gixxer SF	80000	2018	Individual	1	12500	
Vespa SXL 149	80000	2018	Individual	1	18803	
Bajaj Pulsar 150	80000	2019	Individual	1	8000	
Bajaj Avenger Street 220	80000	2016	Individual	1	7200	95955
Bajaj Avenger Street 150 [2018]	80000	2017	Individual	1	30000	80435
Yamaha FZ S V 2.0	80000	2019	Individual	1	10000	87042
Honda CB Hornet 160R	80000	2017	Individual	1	18000	87719
Yamaha YZF R15 [2011-2018]	80000	2017	Individual	1	27000	118997
Bajaj Pulsar NS160	80000	2018	Individual	1	11000	
Bajaj Pulsar RS 200	80000	2015	Individual	1	32000	
Honda CB Hornet 160R	80000	2016	Individual	1	100000	92661
Royal Enfield Electra 4 S	80000	2013	Individual	1	46000	
Bajaj Avenger Street 160	80000	2019	Individual	1	5000	
Yamaha YZF R15 [2011-2018]	80000	2013	Dealer	1	30000	118997
Honda CB Hornet 160R	80000	2019	Individual	1	3000	87000
Honda CB Hornet 160R	78500	2018	Individual	1	17000	87719
Yamaha FZ S V 2.0	78000	2017	Individual	1	26100	84480
Yamaha FZ S V 2.0	78000	2019	Individual	1	5000	84000
Honda CBR150 R	77000	2014	Individual	1	38000	132513
Bajaj V15	76000	2018	Individual	1	23000	65626
Aprilia SR 125	75000	2019	Individual	1	3500	
Honda CB Unicorn 160	75000	2015	Individual	1	100000	79233
Royal Enfield Machismo	75000	2008	Individual	2	17000	
Honda CB Unicorn 150	75000	2013	Individual	1	54000	74295
Yamaha Ray Z	75000	2017	Individual	1	15000	52949
Bajaj Avenger Street 150 [2018]	75000	2016	Individual	1	35000	80435
Bajaj Pulsar 220F	75000	2016	Individual	1	10500	
Honda CB Unicorn 160	75000	2016	Individual	1	40000	77545
Yamaha YZF R15 S	75000	2018	Individual	1	36000	117926
Yamaha FZ S V 2.0	75000	2017	Individual	1	20000	84042
TVS Apache RTR 160 4V	75000	2019	Individual	1	12657	
Suzuki Intruder 150	75000	2018	Individual	1	10000	
Hero Glamour FI	75000	2019	Individual	1	8900	71150
Bajaj Pulsar 150	75000	2017	Individual	1	30000	
Bajaj Avenger Cruise 220	75000	2016	Individual	1	10950	
Honda CB Hornet 160R	75000	2016	Individual	1	72000	92661
Bajaj Avenger Street 220	75000	2018	Individual	1	12000	95955
Hero Karizma ZMR	75000	2015	Individual	1	11000	108000
Bajaj Avenger 150	75000	2018	Individual	1	7000	80000
Honda CB Hornet 160R	75000	2019	Individual	1	11000	87000
Yamaha FZ 16	75000	2017	Individual	1	18000	82000
Bajaj Avenger 220	75000	2019	Individual	1	3500	95000
Yamaha Saluto	74000	2019	Individual	1	13000	59844
KTM 200 Duke	72000	2013	Individual	1	36500	
Bajaj Pulsar 150	72000	2017	Individual	1	24000	
Bajaj Pulsar 180	72000	2017	Dealer	1	7850	85011
Bajaj Avenger 220	72000	2018	Individual	1	500	95000
Honda Activa 5G	70000	2019	Individual	1	3000	59422
Bajaj Pulsar 150	70000	2019	Individual	1	6500	
Bajaj Pulsar 220F	70000	2018	Individual	1	33000	
Honda CB Unicorn 150	70000	2017	Individual	1	18000	74295
Yamaha Rx	70000	2000	Individual	3	5000	
Bajaj Pulsar 220F	70000	2016	Individual	1	31000	
Hero Splendor Plus i3s	70000	2019	Individual	1	3000	55600
Yamaha YZF R15 S	70000	2016	Individual	1	8000	117926
Suzuki Access 125	70000	2018	Individual	1	14500	
Suzuki Access 125	70000	2018	Individual	1	7000	76632
Honda CB Hornet 160R	70000	2017	Individual	1	35000	87719
Bajaj Avenger Cruise 220	70000	2016	Individual	1	10000	
Honda CB Hornet 160R	70000	2017	Individual	1	35000	87719
Yamaha YZF R15 S	70000	2017	Individual	1	16000	117926
TVS Apache RTR 160	70000	2018	Individual	1	16000	
TVS Jupiter	70000	2018	Individual	1	14000	
Honda CB Hornet 160R	70000	2017	Individual	1	38000	87543
Bajaj Pulsar NS160	70000	2018	Individual	1	20000	
Honda CB Hornet 160R	70000	2017	Individual	1	240000	92210
Bajaj V15	70000	2018	Individual	1	15000	67187
Honda CB Twister	70000	2014	Individual	1	12566	49150
TVS Apache RTR 160	70000	2018	Individual	1	17000	
Honda CB Hornet 160R	70000	2018	Individual	1	7000	92661
Honda CB Hornet 160R	70000	2017	Individual	1	13000	92210
Bajaj Pulsar 150	70000	2017	Individual	1	24000	
Honda CB Hornet 160R	70000	2017	Individual	1	28000	83340
Yamaha Fascino 110	69000	2019	Individual	1	1600	57112
Suzuki Gixxer [2014-2018]	69000	2017	Individual	1	20000	82813
Honda Livo	69000	2018	Individual	1	12000	
Bajaj Pulsar 150	68000	2019	Individual	1	10000	
Yamaha Fazer FI V 2.0 [2016-2018]	65000	2015	Individual	1	23000	89643
Honda X-Blade	65000	2018	Individual	1	27000	
Honda CB Hornet 160R	65000	2016	Individual	1	30000	88161
Bajaj Pulsar AS200	65000	2015	Individual	1	15856	92074
Yamaha YZF R15 [2011-2018]	65000	2013	Individual	1	11000	118997
TVS Apache RTR 160	65000	2017	Individual	1	46000	
Bajaj Pulsar 125	65000	2019	Individual	1	16000	
Royal Enfield Bullet 350 [2007-2011]	65000	2011	Individual	2	65000	
Hero Achiever 150	65000	2016	Individual	1	29000	69750
Yamaha Fazer FI V 2.0 [2016-2018]	65000	2018	Individual	1	3500	89643
Bajaj Pulsar 220 Fi	65000	2013	Individual	1	6409	
Bajaj Avenger [2015]	65000	2015	Individual	1	26000	75502
Bajaj Pulsar 180	65000	2018	Individual	1	26000	85011
Yamaha YZF R15 [2011-2018]	65000	2011	Individual	1	29000	
Yamaha RX135	65000	1998	Individual	3	16500	
Hero Splendor Plus i3s	65000	2019	Individual	1	1000	55600
Aprilia SR 125	65000	2018	Individual	1	6500	
Bajaj Avenger [2015]	65000	2010	Individual	1	20000	75502
Bajaj Pulsar 220 DTS-i	65000	2013	Individual	1	6409	
Hero Xtreme Sports	65000	2017	Individual	1	23000	78350
Yamaha FZ S V 2.0	65000	2017	Individual	1	42000	84042
Honda Activa 5G	65000	2019	Individual	1	3025	59422
Hero Splendor Plus	65000	2018	Individual	1	7500	
Bajaj Pulsar AS200	65000	2015	Individual	1	33000	92074
TVS Apache RTR 160	65000	2019	Individual	1	11800	81000
Bajaj Pulsar 150	65000	2017	Individual	1	5000	74000
Honda CBR 150	65000	2016	Individual	1	23500	120000
Hero Extreme	65000	2015	Individual	1	16000	78700
Honda CB Shine SP	62000	2019	Individual	1	10000	71049
Honda Activa 5G	62000	2019	Individual	1	3500	57557
Suzuki Gixxer [2014-2018]	62000	2017	Individual	1	15000	78316
Honda Activa 5G	62000	2019	Individual	1	11200	59422
Honda Activa 5G	60000	2018	Individual	1	6502	57557
Yamaha Saluto	60000	2018	Individual	1	13000	59844
Honda Activa 3G	60000	2015	Individual	1	30000	54605
Suzuki Gixxer [2014-2018]	60000	2016	Individual	1	16000	84246
Suzuki Access 125	60000	2017	Individual	1	4000	
Royal Enfield Electra 5 S	60000	2007	Individual	2	19612	
Suzuki Gixxer SF	60000	2016	Individual	1	15000	
Bajaj Pulsar AS200	60000	2015	Individual	1	50000	92074
Hero HF Deluxe	60000	2019	Individual	1	6000	
Yamaha FZ S V 2.0	60000	2015	Individual	2	17500	84042
Yamaha FZ V 2.0	60000	2014	Individual	1	41311	81508
Bajaj Pulsar 150	60000	2014	Individual	1	60000	
Bajaj Avenger Street 220	60000	2016	Individual	1	29000	95955
Yamaha FZ16	60000	2016	Individual	1	29950	78712
Bajaj Avenger Street 150 [2018]	60000	2016	Individual	2	23097	80435
Bajaj Avenger Street 150 [2018]	60000	2016	Individual	1	45137	80435
Royal Enfield Thunderbird 350	60000	2006	Individual	1	40000	
Honda CB Hornet 160R	60000	2017	Individual	1	16500	92210
Bajaj Pulsar 220F	60000	2017	Individual	2	40000	
Yamaha YZF R15 [2011-2018]	60000	2012	Individual	1	22000	118997
Bajaj Pulsar 180	60000	2015	Individual	1	28563	85011
Bajaj Avenger Street 150 [2018]	60000	2017	Individual	1	30000	80435
Honda CB Unicorn 150	60000	2017	Individual	1	12652	74295
Honda CB Hornet 160R	60000	2017	Individual	2	16008	92210
Yamaha FZ S V 2.0	60000	2017	Individual	1	14500	84042
Bajaj Avenger Street 150 [2018]	60000	2016	Individual	2	27000	80435
Hero Passion Pro 110	60000	2013	Individual	1	15000	
Bajaj Avenger Street 220	60000	2016	Individual	1	17000	95955
Yamaha FZ V 2.0	60000	2018	Individual	1	25000	81508
Yamaha FZ S [2012-2016]	60000	2014	Individual	1	68000	79432
Honda Grazia	60000	2018	Individual	1	16000	
Bajaj Pulsar 150	60000	2017	Individual	1	28450	
Royal Enfield Bullet 350 [2007-2011]	60000	2001	Individual	2	4000	
Yamaha FZ V 2.0	60000	2016	Individual	1	45420	81508
Honda Dio	60000	2018	Individual	1	11000	
Bajaj Avenger Street 150 [2018]	60000	2016	Individual	1	25000	80435
Bajaj Avenger [2015]	60000	2015	Individual	2	16000	75502
Bajaj Pulsar 220 DTS-i	60000	2014	Individual	1	16000	
Honda CB Hornet 160R	60000	2018	Individual	1	15000	87000
Bajaj Avenger 220 dtsi	60000	2017	Individual	1	16600	95000
Honda CBR 150	60000	2015	Individual	1	32000	120000
Bajaj Avenger 150 street	60000	2018	Individual	1	20000	80000
Yamaha FZ  v 2.0	60000	2017	Individual	1	29000	84000
Yamaha FZ  v 2.0	60000	2018	Individual	1	25000	84000
Bajaj Pulsar  NS 200	60000	2016	Individual	1	25000	99000
TVS Apache RTR 160	60000	2014	Individual	1	19000	81000
Royal Enfield Thunderbird 350	59000	2005	Individual	2	40000	
Hero Honda Hunk	58000	2015	Individual	1	48000	
Hero Xtreme Sports	58000	2016	Individual	1	21000	80350
Yamaha Fazer Dlx	58000	2012	Individual	1	40000	
Hero Maestro Edge	58000	2018	Individual	1	6000	54580
Honda Aviator	57000	2018	Individual	1	6465	61118
Hero Honda Hunk	56000	2015	Individual	1	48000	
Bajaj Pulsar 135 LS	56000	2017	Individual	3	37714	64589
Yamaha Cygnus Ray ZR	56000	2019	Individual	1	3900	58630
Honda CB Hornet 160R	56000	2017	Individual	2	13200	87543
Hero Glamour 125	55000	2017	Individual	1	2500	61600
Bajaj Pulsar 220S	55000	2015	Individual	1	45000	
Honda CB Hornet 160R	55000	2017	Individual	1	14000	87543
Honda Activa 5G	55000	2019	Individual	1	10000	57557
Suzuki Gixxer [2014-2018]	55000	2015	Individual	1	25000	78316
Honda Activa 5G	55000	2019	Individual	1	9000	59422
Hero Passion PRO i3s	55000	2017	Individual	1	14600	54475
Honda CB Unicorn 150	55000	2017	Individual	1	12000	74295
Bajaj Pulsar 150 [2001-2011]	55000	2010	Individual	1	42000	
Hero Maestro Edge	55000	2018	Individual	1	39000	52790
Hero Passion PRO i3s	55000	2018	Individual	1	15000	54475
Bajaj Pulsar 150	55000	2015	Individual	2	40000	
TVS Scooty Zest 110	55000	2018	Individual	1	380	53751
Honda Activa 125 [2016-2017]	55000	2018	Individual	1	18000	61545
Yamaha Fascino 110	55000	2019	Individual	1	7000	57112
Honda CB Unicorn 150	55000	2014	Individual	1	10000	74295
Bajaj Pulsar AS150	55000	2017	Individual	2	20000	80821
Hero Extreme	55000	2016	Individual	1	15000	78700
Yamaha FZ S V 2.0	55000	2017	Individual	1	58000	84000
Honda CB Hornet 160R	54786	2016	Individual	1	25000	88161
Hero HF Deluxe i3s	54000	2019	Individual	1	11000	
Hero Glamour 125	54000	2013	Individual	1	17000	61600
TVS Star City Plus	52000	2017	Individual	1	25000	
Bajaj Pulsar 220 F	52000	2012	Individual	1	45000	94000
Honda Activa 5G	51000	2018	Individual	1	14000	59422
Bajaj Pulsar 220 F	51000	2018	Individual	1	24000	94000
Bajaj Discover 125	50000	2016	Individual	1	42000	60122
Hero Glamour FI	50000	2018	Individual	1	20000	71150
Hero Xtreme Sports	50000	2014	Individual	1	80000	80350
Hero Honda Karizma ZMR [2010]	50000	2010	Individual	1	48000	
Honda CB Unicorn 150	50000	2014	Individual	1	32000	74295
Yamaha FZ S V 2.0	50000	2015	Individual	1	20000	84042
Honda Shine	50000	2017	Individual	1	23000	
Bajaj Avenger Street 150 [2018]	50000	2016	Individual	1	40000	80435
Bajaj Pulsar 150	50000	2007	Individual	1	52000	
Honda CB Unicorn 150	50000	2007	Individual	1	46000	74295
Hero Splendor iSmart	50000	2017	Individual	2	10000	52271
Bajaj Avenger Street 150 [2018]	50000	2016	Individual	1	32000	80435
Hero Passion PRO i3s	50000	2017	Individual	1	41000	56925
Hero Super Splendor	50000	2016	Individual	1	20000	
Yamaha FZ S V 2.0	50000	2016	Individual	1	40000	87042
Honda CB Shine SP	50000	2016	Individual	1	46000	67214
Honda CB Unicorn 150	50000	2013	Individual	1	17000	74295
TVS Apache RTR 160	50000	2016	Individual	1	40000	
Hero Passion PRO i3s	50000	2017	Individual	1	18000	56925
Yamaha FZ S V 2.0	50000	2014	Individual	1	70000	84042
Honda CB Unicorn 150	50000	2016	Individual	1	27000	74295
Bajaj Pulsar AS150	50000	2015	Individual	1	5000	80821
Vespa LX 125	50000	2015	Individual	1	3909	77900
Bajaj Pulsar 180	50000	2017	Individual	1	20500	85011
Hero Karizma [2003-2014]	50000	2013	Individual	1	38000	85766
Honda Activa 5G	50000	2018	Individual	1	14000	59422
Bajaj Pulsar NS200	50000	2013	Dealer	1	58203	
Honda Activa 3G	50000	2016	Individual	1	5326	54605
Bajaj Pulsar NS200	50000	2012	Individual	1	46000	
Bajaj V15	50000	2017	Individual	1	9000	65626
Honda Dream Neo	50000	2014	Individual	1	25000	49211
TVS Apache RTR 160	50000	2017	Individual	1	38000	
Honda Activa [2000-2015]	50000	2014	Individual	1	48000	50267
Hero Karizma [2003-2014]	50000	2013	Individual	1	38000	85766
Bajaj Discover 125	50000	2018	Individual	1	6000	60122
Bajaj Pulsar 220F	50000	2011	Individual	2	55000	
Hero Passion Pro 110	50000	2019	Individual	1	29442	
Yamaha YZF R15 [2011-2018]	50000	2014	Individual	1	1200	118997
Yamaha Fazer [2009-2016]	50000	2012	Individual	1	100000	84751
Honda CB Unicorn 160	50000	2017	Individual	1	52000	77545
TVS Star City Plus	50000	2016	Individual	2	14000	
Honda CB Shine SP	50000	2018	Individual	1	37000	64750
Honda CB Unicorn Dazzler	50000	2010	Individual	1	75000	71757
Honda Dio	50000	2016	Individual	1	8000	
Bajaj Pulsar 150	50000	2012	Individual	1	28000	
Yamaha SZ-S	50000	2014	Individual	1	20000	72532
Hero Glamour 125	50000	2017	Individual	1	8600	61600
Hero Xtreme 2014	50000	2014	Individual	1	10000	72973
Honda Activa 5G	50000	2018	Individual	1	25000	57957
Honda CB Shine SP	50000	2017	Individual	1	34300	62317
Hero Super Splendor	50000	2017	Individual	1	9999	
